id,emp_id,year,cl_taken,ml_taken,od_taken,comp_taken,lop_taken,permission_taken,last_permission_reset_month
6,5045,2026,0.00,1.00,0.00,0.00,0.00,0,2026-04
8,108,2026,0.00,0.00,1.00,0.00,0.00,0,2026-04
9,1119,2026,0.00,0.00,5.00,0.00,0.00,0,2026-04
10,1006,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
11,216,2026,1.00,0.00,0.00,0.00,0.00,0,2026-04
16,818,2026,1.00,0.00,0.00,0.00,0.00,0,2026-04
17,101,2026,0.00,0.00,1.00,0.00,0.00,0,2026-04
18,5001,2026,0.00,1.00,0.50,0.00,0.00,0,2026-04
19,802,2026,2.00,0.00,0.00,0.00,0.00,0,2026-04
28,1133,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
35,1127,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
37,916,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
38,1101,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
39,820,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
40,984,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
41,879,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
42,1196,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
44,92,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
45,912,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
46,186,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
47,439,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
49,139,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
50,923,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
51,1173,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
52,1087,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
53,130,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
54,877,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
55,1097,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
57,1134,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
58,263,2026,0.00,0.00,0.00,0.00,0.00,0,2026-04
