id,emp_id,year,cl_limit,ml_limit,od_limit,comp_limit,lop_limit,created_at,updated_at,from_month,to_month,permission_limit
3,@PPG ZORVIAN,2026,12,12,10,6,30,2026-03-04 14:53:30.786809,2026-03-25 04:08:53.149362,,,2
133,5045,2026,12,12,10,6,30,2026-03-06 08:30:08.218479,2026-03-25 04:09:05.137263,2026-03,2026-03,2
137,101,2026,12,12,10,6,30,2026-03-06 09:41:54.178085,2026-03-25 04:08:53.90406,2026-03,2026-03,2
147,802,2026,12,12,10,6,30,2026-03-06 12:26:29.846755,2026-03-25 04:09:06.267762,2026-03,2026-03,2
151,101,2025,12,12,10,6,12,2026-03-06 12:56:27.32114,2026-03-22 04:41:08.286346,2025-06,2026-06,2
251,802,2025,12,12,10,6,12,2026-03-07 08:37:26.18775,2026-03-22 04:28:40.989634,2025-03,2026-03,2
253,5045,2025,12,12,10,6,12,2026-03-07 08:37:26.193496,2026-03-22 04:41:08.090325,2025-06,2026-06,2
257,802,2,12,12,10,6,30,2026-03-07 08:37:45.63796,2026-03-07 08:37:45.63796,,,2
258,101,2,12,12,10,6,30,2026-03-07 08:37:45.698104,2026-03-07 08:37:45.698104,,,2
259,5045,2,12,12,10,6,30,2026-03-07 08:37:45.748069,2026-03-07 08:37:45.748069,,,2
260,802,20,12,12,10,6,30,2026-03-07 08:37:46.343056,2026-03-07 08:37:46.343056,,,2
261,101,20,12,12,10,6,30,2026-03-07 08:37:46.38818,2026-03-07 08:37:46.38818,,,2
262,5045,20,12,12,10,6,30,2026-03-07 08:37:46.43324,2026-03-07 08:37:46.43324,,,2
263,802,202,12,12,10,6,30,2026-03-07 08:37:47.747927,2026-03-07 08:37:47.747927,,,2
264,101,202,12,12,10,6,30,2026-03-07 08:37:47.807879,2026-03-07 08:37:47.807879,,,2
265,5045,202,12,12,10,6,30,2026-03-07 08:37:47.87802,2026-03-07 08:37:47.87802,,,2
449,108,2026,12,12,10,6,30,2026-03-09 04:30:37.740094,2026-03-25 04:08:54.848235,2026-03,2026-03,2
459,1196,2026,12,12,10,6,30,2026-03-09 04:46:44.537151,2026-03-25 04:09:00.541638,2026-03,2026-03,2
460,1119,2026,12,12,10,6,30,2026-03-09 04:46:44.609812,2026-03-25 04:08:57.502182,2026-03,2026-03,2
462,186,2026,12,12,10,6,30,2026-03-09 04:46:44.735331,2026-03-25 04:09:01.871406,2026-03,2026-04,2
