id,sort_order,period_number,label,start_time,end_time,is_break,updated_at
55,1,1,Period 1,09:00:00,09:50:00,false,2026-03-17 18:48:07.894362
56,2,2,Period 2,09:50:00,10:40:00,false,2026-03-17 18:48:07.894362
57,3,,Break,10:40:00,10:55:00,true,2026-03-17 18:48:07.894362
58,4,3,Period 3,10:55:00,11:45:00,false,2026-03-17 18:48:07.894362
59,5,4,Period 4,11:45:00,12:35:00,false,2026-03-17 18:48:07.894362
60,6,,Break,12:35:00,13:20:00,true,2026-03-17 18:48:07.894362
61,7,5,Period 5,13:20:00,14:10:00,false,2026-03-17 18:48:07.894362
62,8,6,Period 6,14:10:00,15:00:00,false,2026-03-17 18:48:07.894362
63,9,,Break,15:00:00,15:15:00,true,2026-03-17 18:48:07.894362
64,10,7,Period 7,15:15:00,16:00:00,false,2026-03-17 18:48:07.894362
65,11,8,Period 8,16:00:00,16:45:00,false,2026-03-17 18:48:07.894362
