id,emp_id,day_of_week,period_number,start_time,end_time,subject,subject_code,room_number,subject_staff
2,802,Monday,1,09:00:00,09:50:00,DBMS,CS3451,407,
3,802,Monday,3,10:55:00,11:45:00,OS,CS3451,102,
29,101,Monday,1,09:00:00,09:50:00,DBMS,CS3451,407,
30,101,Monday,6,14:10:00,15:00:00,DBMS,CS3451,407,
31,101,Tuesday,3,10:55:00,11:45:00,DBMS,CS3451,407,
32,101,Thursday,5,13:20:00,14:10:00,DBMS,CS3451,407,
33,5045,Wednesday,5,13:20:00,14:10:00,DBMS,CS3492,402,
34,234,Monday,1,09:00:00,09:50:00,,,,
35,844,Monday,1,09:00:00,09:50:00,HMT,,,
36,844,Monday,5,13:20:00,14:10:00,TPE,,,
37,844,Tuesday,3,10:55:00,11:45:00,"HMT ",,,
38,844,Wednesday,1,09:00:00,09:50:00,"TPE ",,,
39,844,Wednesday,3,10:55:00,11:45:00,"HMT ",,,
40,844,Thursday,2,09:50:00,10:40:00,"HMT ",,,
41,844,Thursday,4,11:45:00,12:35:00,"TPE ",,,
42,844,Friday,4,11:45:00,12:35:00,"TPE ",,,
43,844,Friday,2,09:50:00,10:40:00,"HMT ",,,
44,844,Thursday,7,15:15:00,16:45:00,"HMT Lab ",,,
45,844,Thursday,8,16:00:00,16:00:00,"HMT Lab ",,,
46,844,Friday,7,15:15:00,16:00:00,"HMT Lab ",,,
47,844,Friday,8,16:00:00,16:45:00,"HMT Lab ",,,
48,108,Monday,1,09:00:00,09:50:00,,,,
49,878,Monday,1,09:00:00,09:50:00,,,,
51,5045,Thursday,1,09:00:00,09:50:00,OS,CS3453,401,
52,101,Thursday,1,09:00:00,09:50:00,DBMS,CS3451,401,
